I1,V1,I2,V2,I3,V3,I4,V4,I5,V5,I6,V6,fault,,,,
2.14331,158.93944,2.14331,158.93944,2.14331,158.93944,1.22444,158.93852,2.14331,158.93944,2.14331,158.93944,2 ,,,,
1.74801,160.00745,1.74801,160.00745,1.74801,160.00745,0.99176,160.00669,1.74801,160.00745,1.74801,160.00745,2 ,,,,
1.42007,160.87639,1.42007,160.87639,1.42007,160.87639,0.80143,160.87577,1.42007,160.87639,1.42007 ,160.87639,2 ,,,,
1.15018,161.581,1.15018,161.581,1.15018,161.581,0.64644,161.5805,1.15018,161.581,1.15018,161.581,2 ,,,,
18.077,80.3356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,1 ,,,,
8.067,102.461,18.067,85.461,8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,1 ,,,,
8.055,107.134,8.055,107.134,18.055,87.134,8.055,107.134,8.055,107.134,8.055,107.134,1 ,,,,
8.036,111.711,8.036,111.711,8.036,111.711,18.036,91.711,8.036,111.711,8.036,111.711,1 ,,,,
8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,18.007,94.115,8.007,116.115,1 ,,,,
7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,19.962,100.241,1 ,,,,
7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,7.849,123.969,19.9849,100.969,1 ,,,,
7.803,127.222,7.803,127.222,7.803,127.222,7.803,127.222,20.803,102.222,7.803,127.222,1 ,,,,
5.647,146.511,5.647,146.511,5.647,146.511,21.647,111.511,5.647,146.511,5.647,146.511,1 ,,,,
5.537,147.005,5.537,147.005,21.537,113.005,5.537,147.005,5.537,147.005,5.537,147.005,1 ,,,,
5.43,147.468,25.43,127.468,5.43,147.468,5.43,147.468,5.43,147.468,5.43,147.468,1 ,,,,
25.329,127.907,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,5.329,147.907,1 ,,,,
5.231,148.321,25.231,122.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,1 ,,,,
5.135,148.703,5.135,148.703,25.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,1 ,,,,
5.04,149.08,5.04,149.08,5.04,129.08,5.04,149.08,5.04,149.08,5.04,149.08,1 ,,,,
4.954,149.437,4.954,149.437,4.954,149.437,24.954,129.437,4.954,149.437,4.954,149.437,1 ,,,,
4.868,149.773,4.868,149.773,4.868,149.773,4.868,149.773,25.868,128.773,4.868,149.773,1 ,,,,
4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,4.784,150.094,24.784,121.094,1 ,,,,
24.704,130.339,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,4.704,150.339,1 ,,,,
4.625,150.691,24.625,130.691,4.625,150.691,4.625,150.691,4.625,150.691,4.625,150.691,1 ,,,,
4.081,152.637,4.081,152.637,25.081,130.637,4.081,152.637,4.081,152.637,4.081,152.637,1 ,,,,
4.022,152.841,4.022,152.841,4.022,152.841,26.022,130.841,4.022,152.841,4.022,152.841,1 ,,,,
3.964,153.038,3.964,153.038,3.964,153.038,3.964,153.038,27.964,123.038,3.964,153.038,1 ,,,,
3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,3.906,153.228,25.906,123.228,1 ,,,,
3.853,153.411,3.853,153.411,3.853,153.411,3.853,153.411,25.906,133.41,3.853,153.411,1 ,,,,
3.8,153.588,3.8,153.588,3.8,153.588,33.8,133.588,3.8,153.588,0,153.588,1 ,,,,
8.077,97.7356,8.077,97.7356,8.077,97.7356,8.077,97.7356,0,97.7356,8.077,97.7356,3 ,,,,
8.067,102.461,8.067,102.461,8.067,102.461,8.067,102.461,0,102.461,8.067,102.461,3 ,,,,
8.055,107.134,8.055,107.134,8.055,107.134,8.055,107.134,0,107.134,8.055,107.134,3 ,,,,
8.036,111.711,8.036,111.711,8.036,111.711,8.036,111.711,0,111.711,8.036,111.711,3 ,,,,
8.007,116.115,8.007,116.115,8.007,116.115,8.007,116.115,0,116.115,8.007,116.115,3 ,,,,
7.962,120.241,7.962,120.241,7.962,120.241,7.962,120.241,0,120.241,7.962,120.241,3 ,,,,
7.849,123.969,7.849,123.969,0,123.969,0,123.969,7.849,123.969,7.849,123.969,3 ,,,,
7.803,127.222,7.803,127.222,0,127.222,0,127.222,7.803,127.222,7.803,127.222,3 ,,,,
5.647,146.511,5.647,146.511,0,146.511,0,146.511,5.647,146.511,5.647,146.511,3 ,,,,
5.537,147.005,5.537,147.005,5.537,147.005,0,147.005,5.537,147.005,5.537,147.005,3 ,,,,
0,147.468,5.43,147.468,5.43,147.468,0,147.468,5.43,147.468,5.43,147.468,3 ,,,,
0,147.907,5.329,147.907,5.329,147.907,0,147.907,5.329,147.907,5.329,147.907,3 ,,,,
0,148.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,5.231,148.321,3 ,,,,
0,148.703,0,148.703,5.135,148.703,5.135,148.703,5.135,148.703,5.135,148.703,3 ,,,,
0,149.08,0,149.08,5.04,149.08,5.04,149.08,5.04,149.08,5.04,149.08,3 ,,,,
4.954,149.437,0,149.437,4.954,149.437,4.954,149.437,0,149.437,4.954,149.437,3 ,,,,
4.868,149.773,0,149.773,4.868,149.773,4.868,149.773,0,149.773,4.868,149.773,3 ,,,,
4.784,150.094,0,150.094,4.784,150.094,4.784,150.094,0,150.094,4.784,150.094,3 ,,,,
4.704,150.339,0,150.339,4.704,150.339,4.704,150.339,0,150.339,0,150.339,3 ,,,,
4.625,150.691,0,0,4.625,150.691,4.625,150.691,0,150.691,0,150.691,3 ,,,,
4.081,152.637,4.081,0,4.081,152.637,0,152.637,0,152.637,0,152.637,3 ,,,,
4.022,152.841,4.022,0,4.022,152.841,0,152.841,4.022,152.841,0,152.841,3 ,,,,
3.964,153.038,3.964,153.038,3.964,153.038,0,153.038,3.964,153.038,0,153.038,3 ,,,,
3.906,153.228,3.906,153.228,3.906,153.228,0,153.228,3.906,153.228,0,153.228,3 ,,,,
0,153.411,3.853,153.411,3.853,153.411,0,153.411,3.853,153.411,0,153.411,3 ,,,,
0,153.588,3.8,153.588,3.8,153.588,3.8,153.588,0,153.588,0,153.588,3 ,,,,
0,153.76,3.748,153.76,3.748,153.76,3.748,153.76,0,153.76,3.748,153.76,3 ,,,,
0,153.926,3.698,153.926,3.698,153.926,3.698,153.926,0,153.926,3.698,153.926,3 ,,,,
0,154.087,3.649,154.087,0,154.087,3.649,154.087,0,154.087,3.649,154.087,3 ,,,,
0,154.243,3.601,154.243,0,154.243,0,154.243,3.601,154.243,3.601,154.243,3 ,,,,
0,154.394,3.555,154.394,0,154.394,0,154.394,3.555,154.394,3.555,154.394,3 ,,,,
3.509,154.541,3.509,154.541,0,154.541,0,154.541,3.509,154.541,3.509,154.541,3 ,,,,
3.465,154.683,3.465,154.683,0,154.683,0,154.683,3.465,154.683,3.465,154.683,3 ,,,,
3.422,154.821,3.422,154.821,0,154.821,0,154.821,3.422,154.821,0,154.821,3 ,,,,
3.38,154.966,3.38,154.966,0,154.966,0,154.966,3.38,154.966,0,154.966,3 ,,,,
3.339,155.086,3.339,155.086,0,155.086,3.339,155.086,3.339,155.086,0,155.086,3 ,,,,
3.299,155.213,3.299,155.213,3.299,155.213,3.299,155.213,3.299,155.213,0,155.213,3 ,,,,
3.26,155.336,3.26,155.336,3.26,155.336,3.26,155.336,3.26,155.336,0,155.336,3 ,,,,
3.221,155.546,3.221,155.546,3.221,155.546,3.221,155.546,0,155.546,0,155.546,3 ,,,,
0,155.573,3.184,155.573,3.184,155.573,3.184,155.573,0,155.573,0,155.573,3 ,,,,
0,155.687,0,155.687,3.14,155.687,3.14,155.687,0,155.687,3.14,155.687,3 ,,,,
0,155.796,0,155.796,3.112,155.796,3.112,155.796,0,155.796,3.112,155.796,3 ,,,,
